Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1nw53s6,,,Collection,,,,,The Qustandi Nasr Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m54f9fct,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0001|~|165316|~|70420_ca_object_representations_media_125033_original.jpg,The Qustandi Nasr Collection,,الخوري يوسف نصر مع زوجته,Priest Yousef Nasir with his wife,"Priest Yousef Nasir and his wife Á'liá Yousef from al-Taybeh. He migrated after World War I to Jordan, Syria, Nazereth, and then returned back to his town; where he lived until his death|~|الخوري يوسف نصر وزوجته غالية نصر من بلدة الطيبة. هاجر الخوري يوسف مع عائلته بعد اندلاع الحرب العالمية الأولى إلى الأردن ثم إلى سوريا ثم إلى الناصرة حيث عاش فيها فترة قصيرة قبل عودته إلى بلدة الطيبة",,,,still image,1910 to 1917,1910/1917,"رجل، امرأة، الثوب الفلسطيني، غطاء الرأس، صورة قديمة، ستوديو، خوري; Man, woman, Palestinian thobe, headscarf, old photograph, studio, priest",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/89291_ca_object_representations_media_125033_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/70420_ca_object_representations_media_125033_original.jpg,https://palarchive.org/index.php/Detail/objects/165316/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,"Priest Yousef Nasir and his wife Á'liá Yousef from al-Taybeh. He migrated after World War I to Jordan, Syria, Nazereth, and then returned back to his town; where he lived until his death",الخوري يوسف نصر وزوجته غالية نصر من بلدة الطيبة. هاجر الخوري يوسف مع عائلته بعد اندلاع الحرب العالمية الأولى إلى الأردن ثم إلى سوريا ثم إلى الناصرة حيث عاش فيها فترة قصيرة قبل عودته إلى بلدة الطيبة,,,,
ark:/13030/m5md6pk8,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0002|~|165317|~|8712_ca_object_representations_media_125036_original.jpg,The Qustandi Nasr Collection,,الخوري زكريا نصر من بلدة الطيبة,Priest Zakaria Nasir from al-Taybeh,"A photograph of priest Zakaria Nasir; aged 30, from al-Taybeh. He studied in Jerusalem, then served in Jaffa with Mandatory Palestine. Later on, he left the police upon the recommendation of his grandfather; who wanted him to become a priest. He returned a priest to his town; al-Taybeh, and founded a school there in 1952, he also helped the refugees who migrated to his town. In 1954, he travelled to the USA and built a church in Florida. He died in 1991|~|صورة للخوري زكريا نصر من بلدة الطيبة ، وكان يبلغ من العمر 30 عاماً. درس في القدس ثم عمل في شرطة الانتداب البريطاني في يافا، ترك العمل في الشرطة بعد أن أوصى جده بأن يصبح خوري، وعاد بعد أن رتسم واستقر في بلدة الطيبة. عمل على تأسيس مدرسة في البلدة عام 1952 كما كان له دور في مساعدة اللاجئين الذي نزحوا لبلدته عن الطريق التنسيق مع جمعيات الاغاثة المختلفة. سافر إلى الولايات المتحدة الأمريكية عام 1954 وبنى كنيسة في ولاية فلوريدا، توفي عام 1991",,,,still image,1956,1956,"رجل، صورة قديمة، الولايات المتحدة الأمريكية، قداس، كنيسة، لباس، كاهن، قبعة، ستوديو، الطيبة; Man, old photograph, USA, church, dress, monk, hat, studio, al-Taybeh, mass",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/27643_ca_object_representations_media_125036_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/8712_ca_object_representations_media_125036_original.jpg,https://palarchive.org/index.php/Detail/objects/165317/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,"A photograph of priest Zakaria Nasir; aged 30, from al-Taybeh. He studied in Jerusalem, then served in Jaffa with Mandatory Palestine. Later on, he left the police upon the recommendation of his grandfather; who wanted him to become a priest. He returned a priest to his town; al-Taybeh, and founded a school there in 1952, he also helped the refugees who migrated to his town. In 1954, he travelled to the USA and built a church in Florida. He died in 1991",صورة للخوري زكريا نصر من بلدة الطيبة ، وكان يبلغ من العمر 30 عاماً. درس في القدس ثم عمل في شرطة الانتداب البريطاني في يافا، ترك العمل في الشرطة بعد أن أوصى جده بأن يصبح خوري، وعاد بعد أن رتسم واستقر في بلدة الطيبة. عمل على تأسيس مدرسة في البلدة عام 1952 كما كان له دور في مساعدة اللاجئين الذي نزحوا لبلدته عن الطريق التنسيق مع جمعيات الاغاثة المختلفة. سافر إلى الولايات المتحدة الأمريكية عام 1954 وبنى كنيسة في ولاية فلوريدا، توفي عام 1991,,,,
ark:/13030/m56763x8,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0003|~|165318|~|98602_ca_object_representations_media_125038_original.jpg,The Qustandi Nasr Collection,,إطار لمجموعة صور ( يتبع تفصيل كل منها على حدة),A frame of multiple photos,A frame of multiple photos; each has individual descriptions|~|إطار لمجموعة صور ( يتبع تفصيل كل منها على حدة),,,,still image,,,"مجموعة، صورة، بورتريه، كاهن، غطاء الرأس، عصا، عباية، طربوش، حطة، عقال، رجل، امرأة، اطار، خوري; Group, photograph, portrait, monk, headscarf, stick, robe, Tarbush, Hatta, Agal, man, woman, frame, priest",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/52915_ca_object_representations_media_125038_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/98602_ca_object_representations_media_125038_original.jpg,https://palarchive.org/index.php/Detail/objects/165318/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,A frame of multiple photos; each has individual descriptions,إطار لمجموعة صور ( يتبع تفصيل كل منها على حدة),,,,
ark:/13030/m577351m,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0004|~|165319|~|77857_ca_object_representations_media_125039_original.jpg,The Qustandi Nasr Collection,,بورتريه لقستنطدي نصر من بلدة الطيبة,A portrait of Qustandi Nasir from al-Taybeh,"A portrait of Qustandi Nasir from al-Taybeh. Aside from his teaching job at the Greek Patriarch, he taught music in Greece and was a teacher at the Ministry of Education. In the 1930s, he participated in meetings in Jaffa; which were held to free the Orthodox Church from the control of the Greece Authority. Accordingly, he ran into quarrels with the Greek Patriarch; where he was a teacher. After that, he returned to his town; al-Taybeh, and taught there. Qustandi was one of the well known well-read(s) in his town|~|صورة لقستنطدي نصر، كان يدرس في البطريركية الأرثوذكسية كما كان يعلم الموسيقى باليونانية، إضافة إلى عمله كمعلم في وزارة المعارف، شارك في اجتماعات في يافا في بداية الثلاثينات لتحرير الكنسية الأرثوذكسية العربية من السيطرة اليونانية وعلى أثر ذلك نشب خلاف بينه وبين البطريركية الأرثوذكسية فترك التعليم فيها وعاد لبلدة الطيبة ودرّس فيها، وكان من أوائل المتعلمين والمثقفين المعروفين في البلدة",,,,still image,early 1930s,1930/1934,"الطيبة، لباس تقليدي، طربوش، شارب، رام الله; Al-Taybeh, traditional dress, Tarbush, moustache, Ramallah",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/27444_ca_object_representations_media_125039_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/77857_ca_object_representations_media_125039_original.jpg,https://palarchive.org/index.php/Detail/objects/165319/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,"A portrait of Qustandi Nasir from al-Taybeh. Aside from his teaching job at the Greek Patriarch, he taught music in Greece and was a teacher at the Ministry of Education. In the 1930s, he participated in meetings in Jaffa; which were held to free the Orthodox Church from the control of the Greece Authority. Accordingly, he ran into quarrels with the Greek Patriarch; where he was a teacher. After that, he returned to his town; al-Taybeh, and taught there. Qustandi was one of the well known well-read(s) in his town",صورة لقستنطدي نصر، كان يدرس في البطريركية الأرثوذكسية كما كان يعلم الموسيقى باليونانية، إضافة إلى عمله كمعلم في وزارة المعارف، شارك في اجتماعات في يافا في بداية الثلاثينات لتحرير الكنسية الأرثوذكسية العربية من السيطرة اليونانية وعلى أثر ذلك نشب خلاف بينه وبين البطريركية الأرثوذكسية فترك التعليم فيها وعاد لبلدة الطيبة ودرّس فيها، وكان من أوائل المتعلمين والمثقفين المعروفين في البلدة,,,,
ark:/13030/m5gn5xxf,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0005|~|165320|~|629_ca_object_representations_media_125040_original.jpg,The Qustandi Nasr Collection,,بوتريه لمسن فلسطيني,A portrait of a Palestinian elderly,A photograph of Ibrahim Dawood Nasir from al-Taybeh. He migrated with his family to Chile before World War I and lived there until his death|~|صورة إبراهيم داوود نصر من بلدة الطيبة. هاجر مع أبناءه إلى تشيلي قبل الحرب العالمية الأولى واستقروا هناك,,,,still image,1900 to 1919,1900/1919,"الطيبة، تشيلي، مسن، لباس تقليدي; Al-Taybeh, Chile, old man, traditional dress",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/28948_ca_object_representations_media_125040_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/629_ca_object_representations_media_125040_original.jpg,https://palarchive.org/index.php/Detail/objects/165320/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,A photograph of Ibrahim Dawood Nasir from al-Taybeh. He migrated with his family to Chile before World War I and lived there until his death,صورة إبراهيم داوود نصر من بلدة الطيبة. هاجر مع أبناءه إلى تشيلي قبل الحرب العالمية الأولى واستقروا هناك,,,,
ark:/13030/m5b06vm5,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0006|~|165321|~|19732_ca_object_representations_media_125041_original.jpg,The Qustandi Nasr Collection,,بورتريه لشاب,A portrait of a young man,A photograph of Wadeé Michael from al-Taybeh|~|صورة لـ وديع ميخائيل من بلدة الطيبة,,,,still image,,,"الطيبة، رام الله، شاب; Al-Taybeh, Ramallah, young man",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/53518_ca_object_representations_media_125041_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/19732_ca_object_representations_media_125041_original.jpg,https://palarchive.org/index.php/Detail/objects/165321/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,A photograph of Wadeé Michael from al-Taybeh,صورة لـ وديع ميخائيل من بلدة الطيبة,,,,
ark:/13030/m52g5c42,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0007|~|165322|~|92163_ca_object_representations_media_125042_original.jpg,The Qustandi Nasr Collection,,بورتريه لشاب,A portrait of a young man,A photograph of Yousef Qustandi Nasir from al-Taybeh|~|صورة ليوسف قستنطدي نصر من بلدة الطيبة,,,,still image,early 1940s,1940/1944,"الطيبة، رام الله، شاب; Al-Taybeh, Ramallah, young man",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/80350_ca_object_representations_media_125042_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/92163_ca_object_representations_media_125042_original.jpg,https://palarchive.org/index.php/Detail/objects/165322/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,A photograph of Yousef Qustandi Nasir from al-Taybeh,صورة ليوسف قستنطدي نصر من بلدة الطيبة,,,,
ark:/13030/m5q60d9z,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0008|~|165323|~|97874_ca_object_representations_media_125043_original.jpg,The Qustandi Nasr Collection,,صورة جماعية لوكلاء الكنيسة الأرثوذكسية,A group photo of the agents of the Orthodox Church,"A group photograph of the agents; from al-Taybeh, of the Orthodox Church. Shown in the photo; right to left, Musa Hanna Khoury, Hanan Abu Tayé, Ibrahim Nazzal, Qustandi Nasir, Hanna Musa, Father Zakaria Nasir, Soliman Salim Khoureyeh, and Salieba Mansour|~|وكلاء الكنيسة الأرثوذكسية في بلدة الطيبة، هم (من اليمين) :موسى حنا خوري، حنا أبو طايع، إبراهيم نزال، قستنطدي نصر، حنا موسى، الأب زكريا نصر، سليمان سالم خورية، صليبا المنصور",,,,still image,1951,1951,"الطيبة، رام الله، الكنسية الأرثوذكسية، حطة، عقال، راهب، كاهن،; Al-Taybeh, Ramallah, Greek Orthodox Church, Hatta, Agal, monk, priest",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/49212_ca_object_representations_media_125043_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/97874_ca_object_representations_media_125043_original.jpg,https://palarchive.org/index.php/Detail/objects/165323/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,"A group photograph of the agents; from al-Taybeh, of the Orthodox Church. Shown in the photo; right to left, Musa Hanna Khoury, Hanan Abu Tayé, Ibrahim Nazzal, Qustandi Nasir, Hanna Musa, Father Zakaria Nasir, Soliman Salim Khoureyeh, and Salieba Mansour",وكلاء الكنيسة الأرثوذكسية في بلدة الطيبة، هم (من اليمين) :موسى حنا خوري، حنا أبو طايع، إبراهيم نزال، قستنطدي نصر، حنا موسى، الأب زكريا نصر، سليمان سالم خورية، صليبا المنصور,,,,
ark:/13030/m5909tfb,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0010|~|165325|~|73940_ca_object_representations_media_125045_original.jpg,The Qustandi Nasr Collection,,الخوري زكريا نصر,Priest Zakaria Nasir,Priest Zakaria Nasir in front of his house|~|الخوري زكريا نصر أمام منزله,,,,still image,late 1940s - early 1950s,1940/1950,"رجل، كاهن، خوري، رداء اسود، قبعة،، الطيبة، رام الله; Man, priest, black robe, hat, al-Taybeh, Ramallah",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/28006_ca_object_representations_media_125045_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/73940_ca_object_representations_media_125045_original.jpg,https://palarchive.org/index.php/Detail/objects/165325/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,Priest Zakaria Nasir in front of his house,الخوري زكريا نصر أمام منزله,,,,
ark:/13030/m5tz151c,ark:/21198/z1nw53s6,,Work,218.0,0218.01.0011|~|165326|~|23807_ca_object_representations_media_125046_original.jpg,The Qustandi Nasr Collection,,الأب يوسف دعدوش,Father Yousef Dádósh,Father Yousef Dádósh from al-Taybeh. He was the founder of the Greek Catholic Church|~|الأب يوسف دعدوش مؤسس كنسية الروم الكاثوليك في بلدة الطيبة,,,,still image,1940 to 1959,1940/1959,"رجل، قبعة، كاهن، خوري، فلسطين، الطيبة، بيت، لحية، درج; Man, hat, priest, monk, Palestine, al-Taybeh, house, beard, stairs",,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/74453_ca_object_representations_media_125046_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/5/0/23807_ca_object_representations_media_125046_original.jpg,https://palarchive.org/index.php/Detail/objects/165326/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Qustandi Nasr Collection,9 September 2019 at 16:29:40,9 March 2021 at 11:15:31,Father Yousef Dádósh from al-Taybeh. He was the founder of the Greek Catholic Church,الأب يوسف دعدوش مؤسس كنسية الروم الكاثوليك في بلدة الطيبة,,,,
