,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z1b04qgg,,,Collection,,,,,The Abla Toubasi Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5tj69w0,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0001|~|166952|~|10673_ca_object_representations_media_132836_original.jpg,The Abla Toubasi Collection,,الطبيب الفلسطيني اسحق ميخائيل أثناء عمله,Palestinian Doctor Issaq Michael on Duty,,,,,still image,1960 to 1965,1960/1965,طبيب، عيادة، بيروت، طب.,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/88594_ca_object_representations_media_132836_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/10673_ca_object_representations_media_132836_original.jpg,https://palarchive.org/index.php/Detail/objects/166952/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:30,9 March 2021 at 11:14:56,,,,,,
2,ark:/13030/m5t806nk,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0002|~|166953|~|48367_ca_object_representations_media_132837_original.jpg,The Abla Toubasi Collection,,زوجان بالزي التقليدي الفلسطيني في أحد استوديوهات رام الله,A Married Couple in the Palestinian Thobe at a Studio in Ramallah,,,,,still image,15 October 1955,1955-10-15,رام الله، مسن، مسنة، ثوب، قمباز، لباس تقليدي، تراث، أستوديو,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/53650_ca_object_representations_media_132837_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/48367_ca_object_representations_media_132837_original.jpg,https://palarchive.org/index.php/Detail/objects/166953/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:30,9 March 2021 at 11:14:56,,,,,,
3,ark:/13030/m54v47mq,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0003|~|166954|~|55711_ca_object_representations_media_132838_original.jpg,The Abla Toubasi Collection,,زوجان في أحد استديوهات عمّان,A Married Couple in a Studio in Amman,,,,,still image,1949,1949,رجل، أمرأة، طبيب، استديو، طربوش، عمّان، طبريا، طب,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/4436_ca_object_representations_media_132838_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/55711_ca_object_representations_media_132838_original.jpg,https://palarchive.org/index.php/Detail/objects/166954/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:30,9 March 2021 at 11:14:56,,,,,,
4,ark:/13030/m5ps5k64,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0004|~|166955|~|62411_ca_object_representations_media_132839_original.jpg,The Abla Toubasi Collection,,صورة عائلية,A Family Photograph,,,,,still image,1949,1949,عمان، طبريا، النكبة، عائلة، حنان عشراوي، طبيب,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/90911_ca_object_representations_media_132839_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/62411_ca_object_representations_media_132839_original.jpg,https://palarchive.org/index.php/Detail/objects/166955/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:30,9 March 2021 at 11:14:56,,,,,,
5,ark:/13030/m5pg9fx9,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0005|~|166956|~|84521_ca_object_representations_media_132840_original.jpg,The Abla Toubasi Collection,,صورة بجانب  سيارة العائلة,A Photograph by the Family's Car,,,,,still image,1956,1956,أريحا، سيارة,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/24537_ca_object_representations_media_132840_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/84521_ca_object_representations_media_132840_original.jpg,https://palarchive.org/index.php/Detail/objects/166956/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:30,9 March 2021 at 11:14:56,,,,,,
6,ark:/13030/m5j17sd7,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0006|~|166957|~|89370_ca_object_representations_media_132841_original.jpg,The Abla Toubasi Collection,,صورة عائلية في عيد الميلاد المجيد,A Family Photograph on Christmas,,,,,still image,1955,1955,رام الله، عيد الميلاد المجيد، شجرة عيد الميلاد، حنان عشراوي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/80519_ca_object_representations_media_132841_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/89370_ca_object_representations_media_132841_original.jpg,https://palarchive.org/index.php/Detail/objects/166957/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:31,9 March 2021 at 11:14:56,,,,,,
7,ark:/13030/m5h20r6h,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0007|~|166958|~|31340_ca_object_representations_media_468609_original.jpg,The Abla Toubasi Collection,,سبريدون صرّوف وكان من وجهاء يافا,"Sabridún Sarrúf, a Notable from Jaffa",,,,,still image,1920s,1920/1929,يافا،,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/6/8/6/74118_ca_object_representations_media_468609_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/6/8/6/31340_ca_object_representations_media_468609_original.jpg,https://palarchive.org/index.php/Detail/objects/166958/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:31,5 October 2022 at 15:09:37,,,,,,
8,ark:/13030/m5c900hm,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0008|~|166959|~|8713_ca_object_representations_media_132843_original.jpg,The Abla Toubasi Collection,,أصدقاء فلسطينيون في بيروت,Palestinian Friends in Beirut,,,,,still image,1970 to 1975,1970/1975,رام الله، بيروت،,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/23679_ca_object_representations_media_132843_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/2/8/8713_ca_object_representations_media_132843_original.jpg,https://palarchive.org/index.php/Detail/objects/166959/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:31,9 March 2021 at 11:14:56,,,,,,
9,ark:/13030/m59676r7,ark:/21198/z1b04qgg,,Work,149.0,0149.01.0009|~|166960|~|27179_ca_object_representations_media_468610_original.jpg,The Abla Toubasi Collection,,سبريدون صرّوف وكان من وجهاء يافا,"Sabridún Sarrúf, a Notable from Jaffa",,,,,still image,1920s,1920/1929,يافا،,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/6/8/6/37979_ca_object_representations_media_468610_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/6/8/6/27179_ca_object_representations_media_468610_original.jpg,https://palarchive.org/index.php/Detail/objects/166960/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Abla Toubasi Collection,11 September 2019 at 16:56:31,5 October 2022 at 15:10:24,,,,,,
