"Unnamed: 0","Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"0","ark:/21198/z1325fjz","","","Collection","","","","","The Young Muslim Women Association Collection - Jerusalem","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1325fjz"
"1","ark:/13030/m5cp4fxp","ark:/21198/z1325fjz","","Work","20.0","0020.01.0001|~|19948|~|31968_ca_object_representations_media_10420_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students' Activities of the Young Muslim Women Association's School","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لأحد نشاطات طالبات مدرسة الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1980; Date created","1980","","[31.768319,35.21371]","","","image/jpeg","3817","5369","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/38437_ca_object_representations_media_10420_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/31968_ca_object_representations_media_10420_original.jpg","https://palarchive.org/index.php/Detail/objects/19948/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:37","9 March 2021 at 19:26:46","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School","صورة ملونة لأحد نشاطات طالبات مدرسة الشابات المسلمات.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5cp4fxp/manifest"
"2","ark:/13030/m5n377xz","ark:/21198/z1325fjz","","Work","20.0","0020.01.0002|~|19949|~|41049_ca_object_representations_media_10421_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students' Activities of the Young Muslim Women Association's School","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","","ara","still image","1980; Date created","1980","","[31.768319,35.21371]","","","image/jpeg","3838","5374","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/90068_ca_object_representations_media_10421_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/41049_ca_object_representations_media_10421_original.jpg","https://palarchive.org/index.php/Detail/objects/19949/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:37","9 March 2021 at 19:26:46","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5n377xz/manifest"
"3","ark:/13030/m57x3q6c","ark:/21198/z1325fjz","","Work","20.0","0020.01.0003|~|19950|~|26184_ca_object_representations_media_10422_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students’ Activities of the Young Muslim Women Association's School","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات .","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1980; Date created","1980","","","","","image/jpeg","3816","5359","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/18443_ca_object_representations_media_10422_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/26184_ca_object_representations_media_10422_original.jpg","https://palarchive.org/index.php/Detail/objects/19950/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:37","9 March 2021 at 19:26:46","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات .","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm57x3q6c/manifest"
"4","ark:/13030/m58x0r99","ark:/21198/z1325fjz","","Work","20.0","0020.01.0004|~|19951|~|50886_ca_object_representations_media_10423_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students’ Activities of the Young Muslim Women Association's School","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","","","still image","1980 to 1983; Date created","1980/1983","","","","","image/jpeg","4097","5987","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/6698_ca_object_representations_media_10423_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/50886_ca_object_representations_media_10423_original.jpg","https://palarchive.org/index.php/Detail/objects/19951/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:37","9 March 2021 at 19:26:46","A colour photogarph of one of the students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm58x0r99/manifest"
"5","ark:/13030/m55500n5","ark:/21198/z1325fjz","","Work","20.0","0020.01.0005|~|19952|~|87498_ca_object_representations_media_12113_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students’ Activities of the Young Muslim Women Association's School","A colour photogarph of students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1982 to 1984; Date created","1982/1984","","[31.768319,35.21371]","","","image/jpeg","4344","6091","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/1/49497_ca_object_representations_media_12113_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/1/87498_ca_object_representations_media_12113_original.jpg","https://palarchive.org/index.php/Detail/objects/19952/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:38","9 March 2021 at 19:26:46","A colour photogarph of students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm55500n5/manifest"
"6","ark:/13030/m5452zgz","ark:/21198/z1325fjz","","Work","20.0","0020.01.0006|~|19953|~|69280_ca_object_representations_media_10424_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students’ Activities of the Young Muslim Women Association's School","A colour photograph of students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1982 to 1984; Date created","1982/1984","","[31.768319,35.21371]","","","image/jpeg","3815","5338","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/63427_ca_object_representations_media_10424_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/69280_ca_object_representations_media_10424_original.jpg","https://palarchive.org/index.php/Detail/objects/19953/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:38","9 March 2021 at 19:26:46","A colour photograph of students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5452zgz/manifest"
"7","ark:/13030/m5gf85h1","ark:/21198/z1325fjz","","Work","20.0","0020.01.0007|~|19954|~|87676_ca_object_representations_media_10425_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","نشاطات طالبات مدرسة جمعية الشابات المسلمات","Students’ Activities of the Young Muslim Women Association's School","A colour photograph of students’ activities of the Young Muslim Women Association's School|~|صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1980s; Date created","1980/1989","","[31.768319,35.21371]","","","image/jpeg","4300","6075","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/85010_ca_object_representations_media_10425_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/87676_ca_object_representations_media_10425_original.jpg","https://palarchive.org/index.php/Detail/objects/19954/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:38","9 March 2021 at 19:26:46","A colour photograph of students’ activities of the Young Muslim Women Association's School","صورة ملونة لنشاطات طالبات مدرسة جمعية الشابات المسلمات.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5gf85h1/manifest"
"8","ark:/13030/m50d26rm","ark:/21198/z1325fjz","","Work","20.0","0020.01.0008|~|19955|~|11076_ca_object_representations_media_10426_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","طالبات في مدرسة جمعية الشابات المسلمات يقرأن في مكتبة المدرسة","Students of Young Muslim Women Association's School are Reading at the School Library","","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","","","","[31.768319,35.21371]","","","image/jpeg","4637","6338","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/7795_ca_object_representations_media_10426_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/11076_ca_object_representations_media_10426_original.jpg","https://palarchive.org/index.php/Detail/objects/19955/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:38","9 March 2021 at 19:26:46","","","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm50d26rm/manifest"
"9","ark:/13030/m5vn1q50","ark:/21198/z1325fjz","","Work","20.0","0020.01.0009|~|19956|~|75836_ca_object_representations_media_10427_original.jpg","The Young Muslim Women Association Collection - Jerusalem","Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","اقتحام الشرطة الإسرائيلية مدرسة جمعية الشابات المسلمات","The Israeli Police Breaks into the Young Muslim Women Association's School","","Nabila en-Natsheh (Senior secretary at the Jerusalem Young Muslim Women Association), interview with PMDA researcher Lama Ghosheh, December 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1988; Date created","1988","","","","","image/jpeg","3648","5500","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/23596_ca_object_representations_media_10427_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/4/75836_ca_object_representations_media_10427_original.jpg","https://palarchive.org/index.php/Detail/objects/19956/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Young Muslim Women Association Collection - Jerusalem | Jerusalem Young Women Muslim Association Sub-collection 1: Photographs","19 July 2018 at 13:43:38","9 March 2021 at 19:26:46","","","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vn1q50/manifest"
