Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1zs8g27,,,Collection,,,,,The Aziz abu Khdiar Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5z689mz,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0001|~|108090|~|90062_ca_object_representations_media_67509_original.jpg,The Aziz abu Khdiar Collection,,مجموعة من الرجال خلال احتفالهم بعرس في البلدة القديمة في بلدة شعفاط,A Group of Men During a Wedding Celebration in the Old City of  Shu'fat,"A group of men dancing al-Dabkeh during a wedding of one of the relatives in the old city of Shu'fat. Appears in the photo: Muhammad Tahr wearing the Red kufiyyah, on this left Munʿem ʿabdul-ʿal, Ali Dawud, and ʾbrahim Musa.|~|مجموعة رجال يرقصون الدبكة في عرس أحد الأقارب في البلدة القديمة في شعفاط حيث يظهر في الصورة: محمد طاهر يرتدي الكوفية الحمراء، ومن يساره منعم عبد العال وعلي داوود وابراهيم موسى وآخرين.",,,,still image,,,حفلة، دبكة، ربابة، مجموعة رجال، ساحة,,,,image/jpeg,2190,3206,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/51362_ca_object_representations_media_67509_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/90062_ca_object_representations_media_67509_original.jpg,https://palarchive.org/index.php/Detail/objects/108090/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:17,9 March 2021 at 11:35:34,"A group of men dancing al-Dabkeh during a wedding of one of the relatives in the old city of Shu'fat. Appears in the photo: Muhammad Tahr wearing the Red kufiyyah, on this left Munʿem ʿabdul-ʿal, Ali Dawud, and ʾbrahim Musa.",مجموعة رجال يرقصون الدبكة في عرس أحد الأقارب في البلدة القديمة في شعفاط حيث يظهر في الصورة: محمد طاهر يرتدي الكوفية الحمراء، ومن يساره منعم عبد العال وعلي داوود وابراهيم موسى وآخرين.,,,,
ark:/13030/m5tf7jxp,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0002|~|108091|~|37670_ca_object_representations_media_67511_original.jpg,The Aziz abu Khdiar Collection,,عبد الحميد عيسى أبو خضير,ʿabdul-Hamid Issa ʾabu Khdair,"ʿabdul-Hamid ʿisai ʾabu Khdair from Shu'fat used to be an employee at the municipality, died in 1995.|~|عبد الحميد عيسى أبو خضير من بلدة شعفاط. كان موظفاً في البلدية في شعفاط، توفي سنة 1995.",,,,still image,1982,1982,صورة في الطبيعة، مواشي، اغنام، حديقة منزل، رجل، عقال، قمباز,,,,image/jpeg,3640,2507,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/1737_ca_object_representations_media_67511_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/37670_ca_object_representations_media_67511_original.jpg,https://palarchive.org/index.php/Detail/objects/108091/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:18,9 March 2021 at 11:35:34,"ʿabdul-Hamid ʿisai ʾabu Khdair from Shu'fat used to be an employee at the municipality, died in 1995.",عبد الحميد عيسى أبو خضير من بلدة شعفاط. كان موظفاً في البلدية في شعفاط، توفي سنة 1995.,,,,
ark:/13030/m59h38cq,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0003|~|108092|~|9484_ca_object_representations_media_67513_original.jpg,The Aziz abu Khdiar Collection,,عزيز أبو خضير مع أسرى سجن تلموند الصهيوني يقدمون امتحان التوجيهي,ʿaziz ʾabu Khdair with Other Detainees from Telmond Prison Doing Tawjihi Exam.,"ʿaziz ʾabu Khder with his friends who are detainees in Telmond prison while doing Tawjihi exam. Appears in the photo from the right: Walid Salm, the third is Ṣaʾb al-Qawas, the fourth is Hasan al-ʿamd.|~|عزيز أبو خضير وأصدقاؤه. الأول من اليمين: وليد سالم والثالث صائب القواس والرابع حسن العمد وكانوا معتقلين في سجن تلموند الصهيوني أثناء تقديمهم امتحان التوجيهي",,,,still image,1976,1976,غرفة، مقاعد دراسية، رجال، اسرى، سجن تلموند، امتحان توجيهي,,,,image/jpeg,1846,3003,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/81575_ca_object_representations_media_67513_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/9484_ca_object_representations_media_67513_original.jpg,https://palarchive.org/index.php/Detail/objects/108092/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:18,9 March 2021 at 11:35:34,"ʿaziz ʾabu Khder with his friends who are detainees in Telmond prison while doing Tawjihi exam. Appears in the photo from the right: Walid Salm, the third is Ṣaʾb al-Qawas, the fourth is Hasan al-ʿamd.",عزيز أبو خضير وأصدقاؤه. الأول من اليمين: وليد سالم والثالث صائب القواس والرابع حسن العمد وكانوا معتقلين في سجن تلموند الصهيوني أثناء تقديمهم امتحان التوجيهي,,,,
ark:/13030/m5jx62g1,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0004|~|108093|~|84629_ca_object_representations_media_67514_original.jpg,The Aziz abu Khdiar Collection,,عزيز أبو خضير في سجن تلموند,ʿaziz ʾabu Khdair in Hasharon (Telmond) Prison,ʿaziz ʾabu Khdair with his detainee friends in Hasharon (Telmond) Prison|~|عزيز أبو خضير وأصدقاؤه المعتقلين في سجن تلموند,,,,still image,1976,1976,بورتريه، رجال، اسرى، مقاعد دراسية، سجن تلموند,,,,image/jpeg,4373,6705,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/84851_ca_object_representations_media_67514_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/84629_ca_object_representations_media_67514_original.jpg,https://palarchive.org/index.php/Detail/objects/108093/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:18,9 March 2021 at 11:35:34,ʿaziz ʾabu Khdair with his detainee friends in Hasharon (Telmond) Prison,عزيز أبو خضير وأصدقاؤه المعتقلين في سجن تلموند,,,,
ark:/13030/m55r2hpf,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0005|~|108094|~|77065_ca_object_representations_media_67515_original.jpg,The Aziz abu Khdiar Collection,,عزيز أبو خضير في سجن تلموند,ʿaziz ʾabu Khdair in Hasharon (Telmond) Prison.,ʿaziz ʾabu Khdair with his friends which were detained by Israeli Occupation Forces in Hasharon (Telmond) Prison.|~|عزيز أبو خضير وأصدقاؤه المعتقلين لدى جيش الاحتلال في سجن تلموند,,,,still image,1976,1976,بورتريه، رجال، اسرى، مقاعد دراسية، سجن تلموند,,,,image/jpeg,4466,6817,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/25725_ca_object_representations_media_67515_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/77065_ca_object_representations_media_67515_original.jpg,https://palarchive.org/index.php/Detail/objects/108094/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:18,9 March 2021 at 11:35:34,ʿaziz ʾabu Khdair with his friends which were detained by Israeli Occupation Forces in Hasharon (Telmond) Prison.,عزيز أبو خضير وأصدقاؤه المعتقلين لدى جيش الاحتلال في سجن تلموند,,,,
ark:/13030/m5pp6t6c,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0006|~|108095|~|69720_ca_object_representations_media_67517_original.jpg,The Aziz abu Khdiar Collection,,عزيز أبو خضير في سجن تلموند,ʿaziz ʾabu Khdair in Hasharon (Telmond) Prison.,"ʿaziz ʾabu Khdair and his friends, which were detained by Israeli Occupation Forces in Hasharon (Telmond) Prison, with a military officer and a supervised.|~|عزيز أبو خضير وأصدقاؤه المعتقلون لدى جيش الاحتلال في سجن تلموند ومعهم الضابط العسكري والمراقب",,,,still image,1976,1976,بورتريه، ضابط، مراقب، رجال، اسرى، مقاعد دراسية، سجن تلموند,,,,image/jpeg,4408,6744,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/71532_ca_object_representations_media_67517_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/69720_ca_object_representations_media_67517_original.jpg,https://palarchive.org/index.php/Detail/objects/108095/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:18,9 March 2021 at 11:35:34,"ʿaziz ʾabu Khdair and his friends, which were detained by Israeli Occupation Forces in Hasharon (Telmond) Prison, with a military officer and a supervised.",عزيز أبو خضير وأصدقاؤه المعتقلون لدى جيش الاحتلال في سجن تلموند ومعهم الضابط العسكري والمراقب,,,,
ark:/13030/m5f559q5,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0007|~|108096|~|19299_ca_object_representations_media_67518_original.jpg,The Aziz abu Khdiar Collection,,عزيز أبو خضير وعمه عبد المجيد أبو خضير,ʿaziz ʾabu Khdair with his Uncle Abdul- maǧid Abu Khder,ʿaziz ʾabu Khdair with his uncle Abdul- maǧidIssa Abu Khdair.|~|عزيز أبو خضير وعمه عبد المجيد عيسى أبو خضير,,,,still image,1968,1968,بورتريه، صورة في الشارع، رجلين,,,,image/jpeg,3407,4256,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/44212_ca_object_representations_media_67518_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/19299_ca_object_representations_media_67518_original.jpg,https://palarchive.org/index.php/Detail/objects/108096/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:19,9 March 2021 at 11:35:34,ʿaziz ʾabu Khdair with his uncle Abdul- maǧidIssa Abu Khdair.,عزيز أبو خضير وعمه عبد المجيد عيسى أبو خضير,,,,
ark:/13030/m5201s1b,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0008|~|108097|~|24880_ca_object_representations_media_67519_original.jpg,The Aziz abu Khdiar Collection,,محمد وعبد العزيز أبو خضير في أحد شوارع مدينة طولكرم,Muhammad and Abdul-ʿaziz ʾabu Khdair in one of Tulkarem Streets,Muhammad and Abdul-ʿaziz ʾabu Khdair in one of Tulkarem streets.|~|محمد أبو خضير أبو حسن وعبد العزيز أبو خضير في إحدى شوارع مدينة طولكرم,,,,still image,1969,1969,بورتريه، رجلين، صورة في الشارع، طول كرم، ناس، دراجات، ناس,,,,image/jpeg,3685,5138,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/43765_ca_object_representations_media_67519_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/24880_ca_object_representations_media_67519_original.jpg,https://palarchive.org/index.php/Detail/objects/108097/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:19,9 March 2021 at 11:35:34,Muhammad and Abdul-ʿaziz ʾabu Khdair in one of Tulkarem streets.,محمد أبو خضير أبو حسن وعبد العزيز أبو خضير في إحدى شوارع مدينة طولكرم,,,,
ark:/13030/m5d8700h,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0009|~|108098|~|82332_ca_object_representations_media_67521_original.jpg,The Aziz abu Khdiar Collection,,طارق عزيز أبو خضير,Tarq ʿaziz Abu Khdair,Tarq ʿaziz Abu Khdair riding a donkey in farmland.|~|طارق عزيز أبو خضير على الحمار في كرم الزيتون,,,,still image,1995,1995,صورة في الطبيعة، كرم زيتون، اشجار، طفل، حمار,,,,image/jpeg,2188,3286,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/28455_ca_object_representations_media_67521_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/82332_ca_object_representations_media_67521_original.jpg,https://palarchive.org/index.php/Detail/objects/108098/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:19,9 March 2021 at 11:35:34,Tarq ʿaziz Abu Khdair riding a donkey in farmland.,طارق عزيز أبو خضير على الحمار في كرم الزيتون,,,,
ark:/13030/m5x718j1,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0010|~|108099|~|94477_ca_object_representations_media_67523_original.jpg,The Aziz abu Khdiar Collection,,خمسة إخوة أطفال من عائلة أبو خضير,Picture of Five Children from ʾabu Khdair Family,"A picture of five children from ʾabu Khdair Family. From left to the right: ʿaziz, Fatima, Fathia, Muhammad, and late Samira Abu Khader.|~|خمسة إخوة أطفال من عائلة أبو خضير. من اليمين: عزيز، فاطمة، فتحية، محمد، المرحومة سميرة أبو خضير",,,,still image,1960,1960,استوديو، بورتريه، عائلة ابو خضير، اطفال,,,,image/jpeg,4420,6719,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/69648_ca_object_representations_media_67523_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/94477_ca_object_representations_media_67523_original.jpg,https://palarchive.org/index.php/Detail/objects/108099/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:19,9 March 2021 at 11:35:34,"A picture of five children from ʾabu Khdair Family. From left to the right: ʿaziz, Fatima, Fathia, Muhammad, and late Samira Abu Khader.",خمسة إخوة أطفال من عائلة أبو خضير. من اليمين: عزيز، فاطمة، فتحية، محمد، المرحومة سميرة أبو خضير,,,,
ark:/13030/m5sg0hqz,ark:/21198/z1zs8g27,,Work,112.0,0112.01.0011|~|108100|~|15948_ca_object_representations_media_67524_original.jpg,The Aziz abu Khdiar Collection,,سعدة أبو خضير,Saʿda ʾabu Khdair,"Saʿda ʾabu Khdair in front of her house, she lived 96 years and died in 1981.|~|سعدة أبو خضير أمام منزل البيت. عاشت 96 سنة وتوفيت عام 1981",,,,still image,1975 to 1979,1975/1979,بورتريه، صورة في الطبيعة، شرفة منزل، امرأة، خرقة,,,,image/jpeg,3612,2488,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/59103_ca_object_representations_media_67524_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/7/5/15948_ca_object_representations_media_67524_original.jpg,https://palarchive.org/index.php/Detail/objects/108100/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Aziz abu Khdiar Collection,26 March 2019 at 15:30:19,9 March 2021 at 11:35:34,"Saʿda ʾabu Khdair in front of her house, she lived 96 years and died in 1981.",سعدة أبو خضير أمام منزل البيت. عاشت 96 سنة وتوفيت عام 1981,,,,
