Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1034b5t,,,Collection,,,,,The Ahmad Abbas Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m53g2fqp,ark:/21198/z1034b5t,,Work,268.0,0268.01.0001|~|184675|~|17140_ca_object_representations_media_164697_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph. |~| صورة غير ملونة. وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/8445_ca_object_representations_media_164697_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/17140_ca_object_representations_media_164697_original.jpg,https://palarchive.org/index.php/Detail/objects/184675/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:08,10 March 2021 at 15:48:22,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة. وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5kh8dcr,ark:/21198/z1034b5t,,Work,268.0,0268.01.0002|~|184676|~|99415_ca_object_representations_media_164698_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph. |~| صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/58980_ca_object_representations_media_164698_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/99415_ca_object_representations_media_164698_original.jpg,https://palarchive.org/index.php/Detail/objects/184676/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:08,10 March 2021 at 15:48:23,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5q8953g,ark:/21198/z1034b5t,,Work,268.0,0268.01.0003|~|184677|~|68739_ca_object_representations_media_164699_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,شاب وفتاة,A Young Man and Woman,"A colour photograph, found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/53119_ca_object_representations_media_164699_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/6/68739_ca_object_representations_media_164699_original.jpg,https://palarchive.org/index.php/Detail/objects/184677/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:08,10 March 2021 at 15:48:23,"A colour photograph, found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5v19ww9,ark:/21198/z1034b5t,,Work,268.0,0268.01.0004|~|184678|~|16025_ca_object_representations_media_164701_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية لطفل,A Personal Photograph of a Child,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/17016_ca_object_representations_media_164701_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/16025_ca_object_representations_media_164701_original.jpg,https://palarchive.org/index.php/Detail/objects/184678/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:08,10 March 2021 at 15:48:23,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5fr7npg,ark:/21198/z1034b5t,,Work,268.0,0268.01.0005|~|184679|~|82076_ca_object_representations_media_164702_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,[BLANK],[BLANK],"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.   |~| صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/36765_ca_object_representations_media_164702_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/82076_ca_object_representations_media_164702_original.jpg,https://palarchive.org/index.php/Detail/objects/184679/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:08,10 March 2021 at 15:48:23,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5b06x0x,ark:/21198/z1034b5t,,Work,268.0,0268.01.0006|~|184680|~|60821_ca_object_representations_media_164703_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/88344_ca_object_representations_media_164703_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/60821_ca_object_representations_media_164703_original.jpg,https://palarchive.org/index.php/Detail/objects/184680/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:09,10 March 2021 at 15:48:24,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5xt3mjs,ark:/21198/z1034b5t,,Work,268.0,0268.01.0009|~|184683|~|48819_ca_object_representations_media_164708_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة عائلية,A Family Photograph,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/54525_ca_object_representations_media_164708_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/48819_ca_object_representations_media_164708_original.jpg,https://palarchive.org/index.php/Detail/objects/184683/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:09,10 March 2021 at 15:48:24,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5938k7d,ark:/21198/z1034b5t,,Work,268.0,0268.01.0010|~|184684|~|36196_ca_object_representations_media_164709_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph ; A Personal Photograph,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/71291_ca_object_representations_media_164709_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/36196_ca_object_representations_media_164709_original.jpg,https://palarchive.org/index.php/Detail/objects/184684/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:09,10 March 2021 at 15:48:25,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m52k43xq,ark:/21198/z1034b5t,,Work,268.0,0268.01.0011|~|184685|~|34233_ca_object_representations_media_164710_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة شخصية,A Personal Photograph,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph|~| صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/44641_ca_object_representations_media_164710_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/34233_ca_object_representations_media_164710_original.jpg,https://palarchive.org/index.php/Detail/objects/184685/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:09,10 March 2021 at 15:48:25,"Captured in black-and-white, this photograph was found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph",صورة غير ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
ark:/13030/m5t22vrg,ark:/21198/z1034b5t,,Work,268.0,0268.01.0012|~|184686|~|90908_ca_object_representations_media_164712_original.jpg,The Ahmad Abbas Collection,Ahmad Abbas Sub-collection 1: Photographs,صورة  امرأة كبيره في السن,A Photograph of an Old Woman,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.|~| صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.",,,,still image,,,,"[32.7481978,35.3438402]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/45265_ca_object_representations_media_164712_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/4/7/90908_ca_object_representations_media_164712_original.jpg,https://palarchive.org/index.php/Detail/objects/184686/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Ahmad Abbas Collection | Ahmad Abbas Sub-collection 1: Photographs,30 September 2019 at 13:37:09,10 March 2021 at 15:48:25,"A colour photograph found among the collection of Ahmad Abbas; one of the citizens of Kafr Kanna, and no additional information was found in regard to this photograph.",صورة ملونة، وجدت في مجموعة أحمد عباس، أحد أهالي كفر كنة، ولم يتوفر أية معلومات إضافية حولها.,,,,[BLANK] | [BLANK]
