,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z16m8sfb,,,Collection,,,,,The Abdel-Hamid Hiwwari Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5hx94vm,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0001|~|199707|~|50218_ca_object_representations_media_148750_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,محمد عباس حواري وأصدقائه,Muhammad ʿabbas Huwwary with Friends,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/14783_ca_object_representations_media_148750_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/50218_ca_object_representations_media_148750_original.jpg,https://palarchive.org/index.php/Detail/objects/199707/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:14,27 September 2022 at 9:14:48,,,black-and-white photographs,,,
2,ark:/13030/m54c0sg6,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0002|~|199708|~|61970_ca_object_representations_media_148752_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,جواد وختام حواري في يوم زفافهما,Jawad and Khitam Huwwary on Their Wedding Day,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/13679_ca_object_representations_media_148752_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/61970_ca_object_representations_media_148752_original.jpg,https://palarchive.org/index.php/Detail/objects/199708/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:14,27 September 2022 at 9:14:48,,,black-and-white photographs,,,
3,ark:/13030/m5bk94mg,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0003|~|199709|~|88499_ca_object_representations_media_148754_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,يوم زفاف جواد وختام حواري,The Wedding Day of Jawad and Khitam Huwwary,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/41785_ca_object_representations_media_148754_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/88499_ca_object_representations_media_148754_original.jpg,https://palarchive.org/index.php/Detail/objects/199709/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:49,,,black-and-white photographs,,,
4,ark:/13030/m5327n49,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0004|~|199710|~|59817_ca_object_representations_media_148756_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,جواد وختام حواري في يوم زفافهما,Jawad and Khitam Huwwary on Their Wedding Day,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/95463_ca_object_representations_media_148756_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/59817_ca_object_representations_media_148756_original.jpg,https://palarchive.org/index.php/Detail/objects/199710/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:49,,,black-and-white photographs,,,
5,ark:/13030/m5gn60gt,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0005|~|199711|~|70470_ca_object_representations_media_148758_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,جواد وختام حواري في يوم زفافهما,Jawad and Khitam Huwwary on Their Wedding Day,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/51786_ca_object_representations_media_148758_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/70470_ca_object_representations_media_148758_original.jpg,https://palarchive.org/index.php/Detail/objects/199711/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:49,,,black-and-white photographs,,,
6,ark:/13030/m5k43kvd,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0006|~|199712|~|272_ca_object_representations_media_148760_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,إقبال حواري وهي طفلة,Young Iqbal Huwwary,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,ان الست اقبال تهدي صورتها غلى جدها وتقبل اياديه وتقول لكم كل عام وانتم بخير  اقبال|~|Mrs. Iqbal gifts this photograph to her grandfather and wishes to kiss his hands. She also wishes you all a happy Eid. Iqbal,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/37752_ca_object_representations_media_148760_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/272_ca_object_representations_media_148760_original.jpg,https://palarchive.org/index.php/Detail/objects/199712/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:50,,,black-and-white photographs,ان الست اقبال تهدي صورتها غلى جدها وتقبل اياديه وتقول لكم كل عام وانتم بخير  اقبال,Mrs. Iqbal gifts this photograph to her grandfather and wishes to kiss his hands. She also wishes you all a happy Eid. Iqbal,
7,ark:/13030/m5d58d35,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0008|~|199714|~|5257_ca_object_representations_media_148764_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,عباس وغادة وعلاء حواري,"ʿabbas, Ghada, and ʿalaʾ Huwwary",,,black-and-white photographs,ara,still image,21 April 1964; Date created,1964-04-21,,,Social History|~|Women,"والدي الكريم عباس حواري بمناسبة حلول عيد الفطر المبارك اقدم لكم رسمًا للأولاد عباس وغاده وعلاء امد الله في عمرك لتراهم وقد اصبحوا رجالًا فهذا عباس وغادة دائمًا ينظرون إلى صورتك المعلقة في صدر الصالون ويقولون ""هذا سيدي عباس"" فيقول عباس (بدي أروح عنده يا بابا وين هو"" وتتبعه غادة بهذا القول. كل عام وانتم بخير واتمنى لجميع افراد الاسرة، كل خير وارجوا ابلاغهم، من ام العباس وتحياتنا بالعيد سائلين الله ان يعيده باجتماع الشمل، اخذت هذه الصورة قبل العيد بأسبوعين حيث كان علاء لا يستطيع المشي بعد، اما الآن فهو يركض ويمشي تمامًا. ولدكم حواري 9/12/1383 هـ 4/21/1964م|~|My dear father, ʿabbas Huwwary To celebrate Eid al-Fitr, I gift you this photo of my children ʿabbas, Ghada, and ʿalaʾ. May you live long to see them all grown up. ʿabbas and Ghada always look at your framed photograph in the living room and they say ""This is my grandfather ʿabbas."" ʿabbas would say then ""I want to visit him. Where is he, dad?"" and Ghada repeats his question. Happy Eid and I wish you all well. Please give our best wishes from me and um al-ʿabbas to all members of the family. May we be reunited next Eid. This photograph was taken two weeks before Eid when ʿalaʾ couldn't walk yet. Now, he's running and walking perfectly. Your son, Huwwary 9/12/1383 Hijri 21/4/1964 GC",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/80652_ca_object_representations_media_148764_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/5257_ca_object_representations_media_148764_original.jpg,https://palarchive.org/index.php/Detail/objects/199714/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:50,,,black-and-white photographs,"والدي الكريم عباس حواري بمناسبة حلول عيد الفطر المبارك اقدم لكم رسمًا للأولاد عباس وغاده وعلاء امد الله في عمرك لتراهم وقد اصبحوا رجالًا فهذا عباس وغادة دائمًا ينظرون إلى صورتك المعلقة في صدر الصالون ويقولون ""هذا سيدي عباس"" فيقول عباس (بدي أروح عنده يا بابا وين هو"" وتتبعه غادة بهذا القول. كل عام وانتم بخير واتمنى لجميع افراد الاسرة، كل خير وارجوا ابلاغهم، من ام العباس وتحياتنا بالعيد سائلين الله ان يعيده باجتماع الشمل، اخذت هذه الصورة قبل العيد بأسبوعين حيث كان علاء لا يستطيع المشي بعد، اما الآن فهو يركض ويمشي تمامًا. ولدكم حواري 9/12/1383 هـ 4/21/1964م","My dear father, ʿabbas Huwwary To celebrate Eid al-Fitr, I gift you this photo of my children ʿabbas, Ghada, and ʿalaʾ. May you live long to see them all grown up. ʿabbas and Ghada always look at your framed photograph in the living room and they say ""This is my grandfather ʿabbas."" ʿabbas would say then ""I want to visit him. Where is he, dad?"" and Ghada repeats his question. Happy Eid and I wish you all well. Please give our best wishes from me and um al-ʿabbas to all members of the family. May we be reunited next Eid. This photograph was taken two weeks before Eid when ʿalaʾ couldn't walk yet. Now, he's running and walking perfectly. Your son, Huwwary 9/12/1383 Hijri 21/4/1964 GC",
8,ark:/13030/m5zq1z99,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0009|~|199715|~|32208_ca_object_representations_media_148766_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,أحمد وبشار وبهاء وهشام حواري,"Ahmad, Bashar, Bahaʾ, and Hisham Huwwary",صورة غير ملونة، وُجدت في مجموعة عبد الحميد حواري الأرشيفية، يظهر فيها من من اليمين كل من الأطفال، أحمد، بشار، بهاء، وهشام حواري، وكانت هذه الصورة قد أرسلت كتذكار إلى عباس حواري.|~|صورة غير ملونة، وُجدت في مجموعة عبد الحميد حواري الأرشيفية، يظهر فيها من من اليمين كل من الأطفال، أحمد، بشار، بهاء، وهشام حواري، وكانت هذه الصورة قد أرسلت كتذكار إلى عباس حواري.,,black-and-white photographs,ara,still image,8 July 1970; Date created,1970-07-08,,,Social History|~|Women,"من اليمين أحمد، بشار، بهاء، هشام إلى عمي عباس مع خالص تحياتنا 8/7/1970|~|Right to left: Ahmad, Bashshar, Bahaʾ, and Hisham To my uncle ʿabbas with our sincere wishes 8/7/1970",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/87520_ca_object_representations_media_148766_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/32208_ca_object_representations_media_148766_original.jpg,https://palarchive.org/index.php/Detail/objects/199715/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,No,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:15,27 September 2022 at 9:14:51,صورة غير ملونة، وُجدت في مجموعة عبد الحميد حواري الأرشيفية، يظهر فيها من من اليمين كل من الأطفال، أحمد، بشار، بهاء، وهشام حواري، وكانت هذه الصورة قد أرسلت كتذكار إلى عباس حواري.,صورة غير ملونة، وُجدت في مجموعة عبد الحميد حواري الأرشيفية، يظهر فيها من من اليمين كل من الأطفال، أحمد، بشار، بهاء، وهشام حواري، وكانت هذه الصورة قد أرسلت كتذكار إلى عباس حواري.,black-and-white photographs,من اليمين أحمد، بشار، بهاء، هشام إلى عمي عباس مع خالص تحياتنا 8/7/1970,"Right to left: Ahmad, Bashshar, Bahaʾ, and Hisham To my uncle ʿabbas with our sincere wishes 8/7/1970",
9,ark:/13030/m58d7nfb,ark:/21198/z16m8sfb,,Work,274.0,0274.01.0010|~|199716|~|27010_ca_object_representations_media_148768_original.jpg,The Abdel-Hamid Hiwwari Collection,Abdel-Hamid Hiwwari Sub-collection 1: Photographs,هشام راضي حواري,Hisham Rady Huwwary,,,black-and-white photographs,ara,still image,,,,,Social History|~|Women,أحمد حمزه حواري|~|Ahmad Hamza Huwwary,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/90613_ca_object_representations_media_148768_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/8/7/27010_ca_object_representations_media_148768_original.jpg,https://palarchive.org/index.php/Detail/objects/199716/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Abdel-Hamid Hiwwari Collection | Abdel-Hamid Hiwwari Sub-collection 1: Photographs,10 December 2019 at 13:58:16,27 September 2022 at 9:14:51,,,black-and-white photographs,أحمد حمزه حواري,Ahmad Hamza Huwwary,
