"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1cg58qr","","","Collection","","","","","The Omar al-Qasim Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1cg58qr"
"ark:/13030/m5wj01mf","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0001|~|788|~|61254_ca_object_representations_media_1608_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","جنازة الشهيدعمرالقاسم، القدس، 6 حزيران 1989","The Funeral of the Martyr Omar al-Qasim, Jerusalem, 6 June 1989","This photograph shows the funeral of the martyr Omar al-Qasim, who passed in the hospital of the Israeli Asqalan Central Prison due to medical negligence on6 June 1989.|~| صورة لجنازة الشهيد عمرالقاسم في القدس والذي استشهد في مشفى سجن عسقلان بسبب الإهمال الطبي، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim Funeral سجن عسقلان Asqlan prison ; الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","Family Records|~|Political mobilization|~|Resistance and Struggle|~|Social Groups and Population|~|Social History","جنازة الشهيد عمر القاسم|~|The Funeral of the shaheed 'umar al-Qasem","image/jpeg","4318","6091","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/40234_ca_object_representations_media_1608_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/61254_ca_object_representations_media_1608_original.jpg","https://palarchive.org/index.php/Detail/objects/788/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","No","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:31:01","1 November 2022 at 14:15:17","This photograph shows the funeral of the martyr Omar al-Qasim, who passed in the hospital of the Israeli Asqalan Central Prison due to medical negligence on6 June 1989.","صورة لجنازة الشهيد عمرالقاسم في القدس والذي استشهد في مشفى سجن عسقلان بسبب الإهمال الطبي، وذلك في 6 حزيران 1989.","color photographs","جنازة الشهيد عمر القاسم","The Funeral of the shaheed 'umar al-Qasem","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5wj01mf/manifest"
"ark:/13030/m5rr98vq","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0002|~|789|~|88946_ca_object_representations_media_1610_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","جنازة الشهيد عمرالقاسم تجوب شارع صلاح، القدس، 6 حزيران 1989","The Funeral of the Shaheed Omar al-Qasim","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died at the hospital of the Israeli Asqalan Prison due to medical negligence.|~|صورة لجنازة الشهيد عمرالقاسم في شارع صلاح الدين في القدس والذي استشهد في مشفى سجن عسقلان بسبب الإهمال الطبي، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","شارع صلاح الدين جنازة الشهيد|~|Salah ad-Din Street The funeral of the shaheed","image/jpeg","4357","6171","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/16205_ca_object_representations_media_1610_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/88946_ca_object_representations_media_1610_original.jpg","https://palarchive.org/index.php/Detail/objects/789/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:31:38","1 November 2022 at 14:15:17","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died at the hospital of the Israeli Asqalan Prison due to medical negligence.","صورة لجنازة الشهيد عمرالقاسم في شارع صلاح الدين في القدس والذي استشهد في مشفى سجن عسقلان بسبب الإهمال الطبي، وذلك في 6 حزيران 1989.","color photographs","شارع صلاح الدين جنازة الشهيد","Salah ad-Din Street The funeral of the shaheed","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5rr98vq/manifest"
"ark:/13030/m5cg71pn","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0003|~|790|~|27173_ca_object_representations_media_1612_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","مسنة تهتف في جنازة الشهيد عمر القاسم، القدس،6 حزيران 1989","An Old Woman Yelling at the Shaheed Omar al-Qasim's Funeral","A colour photograph of an old woman yelling at the shaheed Omar al-Qasim's funeral in Jerusalem.|~|صورة لمسنة تهتف في جنازة الشهيد عمر القاسم التي جابت شوار مدينة القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","في جنازة الشهيد عمر القاسم إحدى النساء الفلسطينيات تهتف في جنازة الشهيد أمام قادة فلسطينيين|~|In the Shaheed 'umar al-Qasem's Funeral A Palestinian woman yelling at the shaheed's funeral in front of Palestinian leaders","image/jpeg","4356","6097","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/15833_ca_object_representations_media_1612_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/27173_ca_object_representations_media_1612_original.jpg","https://palarchive.org/index.php/Detail/objects/790/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:32:08","1 November 2022 at 14:15:18","A colour photograph of an old woman yelling at the shaheed Omar al-Qasim's funeral in Jerusalem.","صورة لمسنة تهتف في جنازة الشهيد عمر القاسم التي جابت شوار مدينة القدس، وذلك في 6 حزيران 1989.","color photographs","في جنازة الشهيد عمر القاسم إحدى النساء الفلسطينيات تهتف في جنازة الشهيد أمام قادة فلسطينيين","In the Shaheed 'umar al-Qasem's Funeral A Palestinian woman yelling at the shaheed's funeral in front of Palestinian leaders","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5cg71pn/manifest"
"ark:/13030/m54247n7","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0004|~|791|~|8681_ca_object_representations_media_1614_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","مسنة تهتف في جنازة الشهيد عمر القاسم، القدس، 6 حزيران 1989","An Old Woman Yelling at Omar al-Qasim's Funeral","A colour photograph of an old woman yelling at the shaheed 'umar al-Qasem's funeral in Jerusalem.|~|صورة لمسنة تهتف في جنازة الشهيد عمر القاسم التي جابت شوار مدينة القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","",". امرأة فلسطينية بثوب فلاحي تهتف في جنازة الشهيد عمر|~|In the Shaheed 'umar al-Qasem's Funeral A Palestinian woman in a Palestinian thobe yelling","image/jpeg","6187","4365","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/26155_ca_object_representations_media_1614_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/8681_ca_object_representations_media_1614_original.jpg","https://palarchive.org/index.php/Detail/objects/791/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:33:06","1 November 2022 at 14:15:18","A colour photograph of an old woman yelling at the shaheed 'umar al-Qasem's funeral in Jerusalem.","صورة لمسنة تهتف في جنازة الشهيد عمر القاسم التي جابت شوار مدينة القدس، وذلك في 6 حزيران 1989.","color photographs",". امرأة فلسطينية بثوب فلاحي تهتف في جنازة الشهيد عمر","In the Shaheed 'umar al-Qasem's Funeral A Palestinian woman in a Palestinian thobe yelling","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm54247n7/manifest"
"ark:/13030/m5093gxh","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0005|~|792|~|26004_ca_object_representations_media_1616_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","شبان فلسطينيون يحملون جثمان الشهيد عمرالقاسم، القدس، 6 حزيران 1989","The Funeral of the Shaheed Omar al-Qasim","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.|~|صورة لشبان فلسطينيين يحملون جثمان الشهيد عمرالقاسم خلال الجنازة التي جابت شوارع مدينة القدس، وذلك في 6  حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","جنازة الشهيد عمر القاسم|~|The Funeral of the Shaheed 'umar al-Qasem","image/jpeg","4325","6059","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/73473_ca_object_representations_media_1616_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/26004_ca_object_representations_media_1616_original.jpg","https://palarchive.org/index.php/Detail/objects/792/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:33:34","1 November 2022 at 14:15:18","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.","صورة لشبان فلسطينيين يحملون جثمان الشهيد عمرالقاسم خلال الجنازة التي جابت شوارع مدينة القدس، وذلك في 6  حزيران 1989.","color photographs","جنازة الشهيد عمر القاسم","The Funeral of the Shaheed 'umar al-Qasem","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5093gxh/manifest"
"ark:/13030/m5n08j4q","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0006|~|793|~|60839_ca_object_representations_media_1618_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","مشيعون يحملون ملصق للشهيد عمرالقاسم خلال مراسم تشيعه، القدس، 6 حزيران 1989","The Funeral of the Shaheed Omar al-Qasim","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.|~|صورة لعدد من المشيعين يحملون ملصقات للشهيد عمر القاسم خلال مراسم جنازته التي جابت شوارع مدينة القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","جنازة الشهيد|~|The Funeral of the Shaheed","image/jpeg","4335","6075","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/70991_ca_object_representations_media_1618_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/60839_ca_object_representations_media_1618_original.jpg","https://palarchive.org/index.php/Detail/objects/793/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:34:05","1 November 2022 at 14:15:18","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.","صورة لعدد من المشيعين يحملون ملصقات للشهيد عمر القاسم خلال مراسم جنازته التي جابت شوارع مدينة القدس، وذلك في 6 حزيران 1989.","color photographs","جنازة الشهيد","The Funeral of the Shaheed","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5n08j4q/manifest"
"ark:/13030/m57q6917","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0007|~|794|~|56387_ca_object_representations_media_1620_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","جنازة الشهيد عمرالقاسم، القدس، 6 حزيران 1989","The Funeral of the Shaheed Omar al-Qasim","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.|~|صورة لجنازة الشهيد عمرالقاسم التي جابت شوارع مدينة القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","جنازة الشهيد|~|The Funeral of the Shaheed","image/jpeg","4346","6092","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/29071_ca_object_representations_media_1620_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/56387_ca_object_representations_media_1620_original.jpg","https://palarchive.org/index.php/Detail/objects/794/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:34:37","1 November 2022 at 14:15:19","Taken in Jerusalem, this colour photograph captures a glimpse of the funeral of the shaheed Omar al-Qasim who died in the hospital of the Israeli Asqalan Prison due to medical negligence.","صورة لجنازة الشهيد عمرالقاسم التي جابت شوارع مدينة القدس، وذلك في 6 حزيران 1989.","color photographs","جنازة الشهيد","The Funeral of the Shaheed","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm57q6917/manifest"
"ark:/13030/m5vj30fm","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0008|~|795|~|25858_ca_object_representations_media_1622_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","حشود يحملون أكاليلاً في جنازة الشهيد عمر القاسم في حي الشيخ جراح، القدس، 6 حزيران 1989","Masses of People Holding Wreathes at the Omar al-Qasim Funeral in Sheikh Jarrah, Jerusalem","A colour photograph of masses of people (including the 'Strike Forces' in red) holding wreathes at shaheed Omar al-Qasim Funeral in Sheikh Jarrah, Jerusalem.|~|صورة لحشود تتضمن أعضاء من القوة الضاربة يرتدون اللون الأحمر،  يحملون أكاليلاً في جنازة الشهيد عمر القاسم في حي الشيخ جراح في القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","جنازة الشهيد عمر القاسم في حي الشخ جراح تتقدمها القوة الضاربة بالزي الاحمر 1989|~|The funeral of shaheed 'umar al-Qasem in Sheikh Jarrah neighborhood with 'Strike Force' in red in the front of the funeral  1989","image/jpeg","4356","6075","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/12476_ca_object_representations_media_1622_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/25858_ca_object_representations_media_1622_original.jpg","https://palarchive.org/index.php/Detail/objects/795/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:35:11","1 November 2022 at 14:15:19","A colour photograph of masses of people (including the 'Strike Forces' in red) holding wreathes at shaheed Omar al-Qasim Funeral in Sheikh Jarrah, Jerusalem.","صورة لحشود تتضمن أعضاء من القوة الضاربة يرتدون اللون الأحمر،  يحملون أكاليلاً في جنازة الشهيد عمر القاسم في حي الشيخ جراح في القدس، وذلك في 6 حزيران 1989.","","جنازة الشهيد عمر القاسم في حي الشخ جراح تتقدمها القوة الضاربة بالزي الاحمر 1989","The funeral of shaheed 'umar al-Qasem in Sheikh Jarrah neighborhood with 'Strike Force' in red in the front of the funeral  1989","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vj30fm/manifest"
"ark:/13030/m5h77sd0","ark:/21198/z1cg58qr","","Work","4.0","0004.01.0009|~|796|~|57003_ca_object_representations_media_1624_original.jpg","The Omar al-Qasim Collection","Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","حشود يحملون أعلاماً ولافتات في جنازة الشهيد عمرالقاسم، القدس، 6 حزيران 1989","Masses Raising Flags and Signs at the Funeral of Martyr Omar al-Qasim, Jerusalem, 6 June 1989","Taken on 6 June 1989, this document shows masses raising flags and signs at the funeral of martyr Omar al-Qasim through the streets of Jerusalem. |~|صورة لحشود يحملون أعلاماً ولافتات في جنازة الشهيد عمرالقاسم التي جابت شوارع القدس، وذلك في 6 حزيران 1989.","Amal al-Qassim (Omar al-Qassim's sister), interview PMDA researcher Lama Ghosheh, May 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","6 June 1989; Date created","1989-06-06","الشهيد عمر القاسم Shaheed Omar Al-Qasim سجن عسقلان Asqlan Prison; فلسطين، القدس Palestine, Jerusalem","[31.768319,35.21371]","","جنازة الشهيد عمرالقاسم 1989|~|Funeral of Shaheed 'umar al-Qasem 1989","image/jpeg","4319","6064","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/37800_ca_object_representations_media_1624_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/6/57003_ca_object_representations_media_1624_original.jpg","https://palarchive.org/index.php/Detail/objects/796/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Omar al-Qasim Collection | Omar al-Qasim Sub-collection 1: Photos of the Funeral of al-Qassim","21 May 2018 at 13:35:44","1 November 2022 at 14:15:19","Taken on 6 June 1989, this document shows masses raising flags and signs at the funeral of martyr Omar al-Qasim through the streets of Jerusalem.","صورة لحشود يحملون أعلاماً ولافتات في جنازة الشهيد عمرالقاسم التي جابت شوارع القدس، وذلك في 6 حزيران 1989.","color photographs","جنازة الشهيد عمرالقاسم 1989","Funeral of Shaheed 'umar al-Qasem 1989","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5h77sd0/manifest"
