Unnamed: 0,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z1kq3mqd,,,Collection,,,,,The Layla Tarazi Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5xd8hr0,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0001|~|84455|~|78791_ca_object_representations_media_56516_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,صورة شخصية لليلى ترزي,A Personal Photograph of Layla Tarazi,A black-and-white photograph of Layla Tarazi.|~|صورة ملونة لليلى ترزي.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",color photographs,,still image,,,,"[31.768319,35.21371]",,,image/jpeg,1181,848,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/99698_ca_object_representations_media_56516_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/78791_ca_object_representations_media_56516_original.jpg,https://palarchive.org/index.php/Detail/objects/84455/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:53,9 March 2021 at 11:49:25,A black-and-white photograph of Layla Tarazi.,صورة ملونة لليلى ترزي.,color photographs,,,
2,ark:/13030/m525917p,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0002|~|84456|~|36368_ca_object_representations_media_56517_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,ليلى ترزي في منزلها في شعفاط,Layla Tarazi at Her Home in Shu'fat,A black-and-white photograph of Layla Tarazi at her home in Shu'fat.|~|صورة غر ملونة تظهر فيها ليلى ترزي في منزلها في شعفاط.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,,,,"[31.768319,35.21371]; [31.8138732,35.2343857]",,بيتا في شعفاط|~|Our home in Shu'fat.,image/jpeg,4072,2856,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/15287_ca_object_representations_media_56517_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/36368_ca_object_representations_media_56517_original.jpg,https://palarchive.org/index.php/Detail/objects/84456/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,A black-and-white photograph of Layla Tarazi at her home in Shu'fat.,صورة غر ملونة تظهر فيها ليلى ترزي في منزلها في شعفاط.,black-and-white photographs,بيتا في شعفاط,Our home in Shu'fat.,
3,ark:/13030/m5sn7s1p,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0003|~|84457|~|75929_ca_object_representations_media_56519_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري,Labib Tawfiq Tarazi and Margo Nasif Khoury's Wedding,"Taken in 1913, this photograph captures a glimpse of Labib Tawfiq Tarazy and Margo Nasif Khury's Wedding. |~|صورة غير ملونة من حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري، وهم والد ووالدة ليلى ترزي.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,1913; Date created,1913,,"[31.768319,35.21371]",,"عرس لبيب توفيق ترزي على مارغو ناصيف خوري والد ليلى. 1913|~|Labib Tawfiq Tarazi and Margo Nasif Khoury's wedding, Layla's father. 1913",image/jpeg,6097,3953,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/73341_ca_object_representations_media_56519_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/75929_ca_object_representations_media_56519_original.jpg,https://palarchive.org/index.php/Detail/objects/84457/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,"Taken in 1913, this photograph captures a glimpse of Labib Tawfiq Tarazy and Margo Nasif Khury's Wedding.",صورة غير ملونة من حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري، وهم والد ووالدة ليلى ترزي.,black-and-white photographs,عرس لبيب توفيق ترزي على مارغو ناصيف خوري والد ليلى. 1913,"Labib Tawfiq Tarazi and Margo Nasif Khoury's wedding, Layla's father. 1913",
4,ark:/13030/m5dc5hx3,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0004|~|84458|~|80038_ca_object_representations_media_56521_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,حفل زفاف توفيق لبيب ترزي وايملي تادرس في القدس عام 1949,Tawfiq Labib Tarazi and Emily Tadrus's Wedding in Jerusalem in 1949,"A black-and-white photograph from Tawfiq Labib Tarazi's wedding, Layla's brother, and Emily Tadrus, in Jerusalem in 1949. Appearing in the photograph are Najib Ibrahim Tadrus and Alexandra Khoury (Emily's mother and father), and Labib Tawfiq Tarazi and Margo Nasif Khoury (Layla's mother and daughter).|~|صورة غير ملنة من حفل زفاف توفيق لبيب ترزي، شقيق ليلى، وايملي تادرس في القدس عام 1949، ويظهر في الصورة نجيب إبراهيم تادرس وألكساندرا خوري (والد ووالدة ايملي)، ولبيب توفيق ترزي ومارغو ناصيف خوري (والد ووالدة ليلى).","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,1949; Date created,1949,,"[31.768319,35.21371]",,"عرس توفيق لبيب ترزي (اخو ليلى) على املي تادرس في القدس 1949 وفي الصوره:  نجيب ابراهيم تادرس  الكساندرا خوري  والد ووالدة املي  لبيب توفيق ترزي  مارغو ناصيف خوري  والد ووالدة توفيق|~|Tawfiq Labib Tarazi's wedding (Layla's brother) and Emily Tadrus, in Jerusalem in 1949.  Appearing in the photograph are Najib Ibrahim Tadrus and Alexandra Khoury Emily's mother and father  and Labib Tawfiq Tarazi and Margo Nasif Khoury Layla's mother and daughter.",image/jpeg,4232,5799,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/41694_ca_object_representations_media_56521_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/80038_ca_object_representations_media_56521_original.jpg,https://palarchive.org/index.php/Detail/objects/84458/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,"A black-and-white photograph from Tawfiq Labib Tarazi's wedding, Layla's brother, and Emily Tadrus, in Jerusalem in 1949. Appearing in the photograph are Najib Ibrahim Tadrus and Alexandra Khoury (Emily's mother and father), and Labib Tawfiq Tarazi and Margo Nasif Khoury (Layla's mother and daughter).",صورة غير ملنة من حفل زفاف توفيق لبيب ترزي، شقيق ليلى، وايملي تادرس في القدس عام 1949، ويظهر في الصورة نجيب إبراهيم تادرس وألكساندرا خوري (والد ووالدة ايملي)، ولبيب توفيق ترزي ومارغو ناصيف خوري (والد ووالدة ليلى).,black-and-white photographs,عرس توفيق لبيب ترزي (اخو ليلى) على املي تادرس في القدس 1949 وفي الصوره:  نجيب ابراهيم تادرس  الكساندرا خوري  والد ووالدة املي  لبيب توفيق ترزي  مارغو ناصيف خوري  والد ووالدة توفيق,"Tawfiq Labib Tarazi's wedding (Layla's brother) and Emily Tadrus, in Jerusalem in 1949.  Appearing in the photograph are Najib Ibrahim Tadrus and Alexandra Khoury Emily's mother and father  and Labib Tawfiq Tarazi and Margo Nasif Khoury Layla's mother and daughter.",
5,ark:/13030/m5nw71bs,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0005|~|84459|~|71465_ca_object_representations_media_56523_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,ليلى ترزي برفقة زميلاتها خلال حفل لمدرسة إناث بيرزيت الإعدادية,Layla Tarazi with her Colleagues During a Celebration for Birzeit Secondary Girls School,"A black-and-white photograph of Layla Tarazi with her colleagues during a celebration for Birzeit Secondary Girls School, in 1970.|~|صورة غير ملونة تظهر فيها ليلى ترزي برفقة زميلاتها خلال حفل لمدرسة إناث بيرزيت الإعدادية عام 1970.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",color photographs,ara,still image,16 May 1970; Date created,1970-05-16,,"[31.975314,35.196042]",,بمناسبة حفلة مدرسة اناث بيرزيت الاعدادية في 16/ 5 / 1970  المرحومات ليلى ترزي مرام عرنكي|~|In occasion of the celebration of Birzeit Secondary Girls School 16/05/1970 The late Layla Tarazi and Maram Aranki,image/jpeg,4155,5704,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/59497_ca_object_representations_media_56523_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/71465_ca_object_representations_media_56523_original.jpg,https://palarchive.org/index.php/Detail/objects/84459/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,"A black-and-white photograph of Layla Tarazi with her colleagues during a celebration for Birzeit Secondary Girls School, in 1970.",صورة غير ملونة تظهر فيها ليلى ترزي برفقة زميلاتها خلال حفل لمدرسة إناث بيرزيت الإعدادية عام 1970.,color photographs,بمناسبة حفلة مدرسة اناث بيرزيت الاعدادية في 16/ 5 / 1970  المرحومات ليلى ترزي مرام عرنكي,In occasion of the celebration of Birzeit Secondary Girls School 16/05/1970 The late Layla Tarazi and Maram Aranki,
6,ark:/13030/m5j468nt,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0006|~|84460|~|72443_ca_object_representations_media_56525_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,ليلى ترزي برفقة زهدي ترزي في فندق أورينت في القدس,Layla Tarazi with Zuhdi Tarazi at the Orient Hotel in Jerusalem,"A black-and-white photograph of Layla Tarazi with her brother Zuhdi Tarazi and a group of friends at the Orient Hotel, in Jerusalem.|~|صورة غير ملونة تظهر فيها ليلى ترزي برفقة شقيقها زهدي ترزي ومجموعة أصدقاء في فندق أورينت في القدس.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,,,,"[31.768319,35.21371]",,المرحومة ليلى وزهدي ترزي فندق orient H.|~|The late Layla Tarazi with Zuhdi Tarazi Orient Hotel,image/jpeg,4093,5843,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/65535_ca_object_representations_media_56525_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/72443_ca_object_representations_media_56525_original.jpg,https://palarchive.org/index.php/Detail/objects/84460/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,"A black-and-white photograph of Layla Tarazi with her brother Zuhdi Tarazi and a group of friends at the Orient Hotel, in Jerusalem.",صورة غير ملونة تظهر فيها ليلى ترزي برفقة شقيقها زهدي ترزي ومجموعة أصدقاء في فندق أورينت في القدس.,black-and-white photographs,المرحومة ليلى وزهدي ترزي فندق orient H.,The late Layla Tarazi with Zuhdi Tarazi Orient Hotel,
7,ark:/13030/m58m4s5b,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0007|~|84461|~|67151_ca_object_representations_media_56527_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,صورة جماعية من أرشيف ليلى ترزي,A Group Photograph from Layla Tarazi's Archive Collection,A black-and-white photograph from Layla Tarazi's archive collection.|~|صورة غير ملونة جماعية من أرشيف ليلى ترزي.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,,still image,,,,"[31.768319,35.21371]",,,image/jpeg,4802,7203,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/35978_ca_object_representations_media_56527_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/67151_ca_object_representations_media_56527_original.jpg,https://palarchive.org/index.php/Detail/objects/84461/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:25,A black-and-white photograph from Layla Tarazi's archive collection.,صورة غير ملونة جماعية من أرشيف ليلى ترزي.,black-and-white photographs,,,
8,ark:/13030/m54z2qwc,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0008|~|84462|~|30978_ca_object_representations_media_56529_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,زهدي لبيب سليمان ترزي ممثل فلسطين في هيئة الأمم المتحدة في السبعينيات وأوائل الثمانينيات,Zuhdi Labib Suleiman Tarazi Palestine's Representative in the UN during the late 70's early 80's,"A black-and-white photograph of Zuhdi Labib Suleiman Tarazi, Layla Tarazi's brother, who was Palestine's representative in the UN during the late 70's, early 80's.|~|صورة غير ملونة يظهر فيها زهدي لبيب سليمان ترزي، شقيق ليلى ترزي، ممثل فلسطين في هيئة الأمم المتحدة في السبعينيات وأوائل الثمانينيات.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,1970s; Date created,1970/1979,,"[31.768319,35.21371]",,المرحوم زهدي لبيب سليمان ترزي ممثل دولة فلسطين في هيئة الأمم في السبعينيات وأوائل الثمانينيات.|~|The late Zuhdi Labib Suleiman Tarazi Palestine's representative in the UN during the late 70's early 80's.,image/jpeg,5960,4761,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/1461_ca_object_representations_media_56529_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/30978_ca_object_representations_media_56529_original.jpg,https://palarchive.org/index.php/Detail/objects/84462/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:24,"A black-and-white photograph of Zuhdi Labib Suleiman Tarazi, Layla Tarazi's brother, who was Palestine's representative in the UN during the late 70's, early 80's.",صورة غير ملونة يظهر فيها زهدي لبيب سليمان ترزي، شقيق ليلى ترزي، ممثل فلسطين في هيئة الأمم المتحدة في السبعينيات وأوائل الثمانينيات.,black-and-white photographs,المرحوم زهدي لبيب سليمان ترزي ممثل دولة فلسطين في هيئة الأمم في السبعينيات وأوائل الثمانينيات.,The late Zuhdi Labib Suleiman Tarazi Palestine's representative in the UN during the late 70's early 80's.,
9,ark:/13030/m5rp0r06,ark:/21198/z1kq3mqd,,Work,83.0,0083.01.0009|~|84463|~|59792_ca_object_representations_media_56531_original.jpg,The Layla Tarazi Collection,Layla Tarazi Sub-collection 1: Photographs,حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري,Labib Tawfiq Tarazi and Margo Nasif Khoury's Wedding,"A black-and-white photograph from Labib Tawfiq Tarazi and Margo Nasif Khoury's wedding, who are Layla Tarazi's parents.|~|صورة غير ملونة من حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري، وهم والد ووالدة ليلى ترزي.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",black-and-white photographs,ara,still image,1913; Date created,1913,,"[31.768319,35.21371]",,لبيب توفيق ترزي على مارغو ناصيف خوري (اب وام ليلى) سنة 1913|~|Labib Tawfiq Tarazi and Margo Nasif Khoury (Layla's mother and father) year of 1913,image/jpeg,5930,4470,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/65505_ca_object_representations_media_56531_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/6/5/59792_ca_object_representations_media_56531_original.jpg,https://palarchive.org/index.php/Detail/objects/84463/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Layla Tarazi Sub-collection 1: Photographs | The Layla Tarazi Collection,2 January 2019 at 12:15:54,9 March 2021 at 11:49:24,"A black-and-white photograph from Labib Tawfiq Tarazi and Margo Nasif Khoury's wedding, who are Layla Tarazi's parents.",صورة غير ملونة من حفل زفاف لبيب توفيق ترزي ومارغو ناصيف خوري، وهم والد ووالدة ليلى ترزي.,black-and-white photographs,لبيب توفيق ترزي على مارغو ناصيف خوري (اب وام ليلى) سنة 1913,Labib Tawfiq Tarazi and Margo Nasif Khoury (Layla's mother and father) year of 1913,
