Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1qg4cf4,,,Collection,,,,,Al-Kasaba Theatre and Cinematheque Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5gz1t0p,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0001|~|76996|~|52306_ca_object_representations_media_53428_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,814,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/5303_ca_object_representations_media_53428_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/52306_ca_object_representations_media_53428_original.jpg,https://palarchive.org/index.php/Detail/objects/76996/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:49,9 March 2021 at 12:01:33,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5c612bj,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0002|~|76997|~|4240_ca_object_representations_media_53429_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,768,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/92209_ca_object_representations_media_53429_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/4240_ca_object_representations_media_53429_original.jpg,https://palarchive.org/index.php/Detail/objects/76997/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:32,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5rg39g5,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0003|~|76998|~|57945_ca_object_representations_media_53430_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,804,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/38384_ca_object_representations_media_53430_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/57945_ca_object_representations_media_53430_original.jpg,https://palarchive.org/index.php/Detail/objects/76998/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:32,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5mq2jq0,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0004|~|76999|~|94904_ca_object_representations_media_53431_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,554,799,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/63737_ca_object_representations_media_53431_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/94904_ca_object_representations_media_53431_original.jpg,https://palarchive.org/index.php/Detail/objects/76999/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:31,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m53r8898,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0005|~|77000|~|28429_ca_object_representations_media_53432_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,557,711,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/89979_ca_object_representations_media_53432_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/28429_ca_object_representations_media_53432_original.jpg,https://palarchive.org/index.php/Detail/objects/77000/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:31,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m57h9110,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0006|~|77001|~|47992_ca_object_representations_media_53433_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,814,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/49001_ca_object_representations_media_53433_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/47992_ca_object_representations_media_53433_original.jpg,https://palarchive.org/index.php/Detail/objects/77001/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:31,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5007hjd,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0007|~|77002|~|9138_ca_object_representations_media_53434_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,814,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/97238_ca_object_representations_media_53434_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/9138_ca_object_representations_media_53434_original.jpg,https://palarchive.org/index.php/Detail/objects/77002/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:30,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5v7712h,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0008|~|77003|~|18826_ca_object_representations_media_53435_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,801,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/12123_ca_object_representations_media_53435_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/18826_ca_object_representations_media_53435_original.jpg,https://palarchive.org/index.php/Detail/objects/77003/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:30,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5kq5hm2,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0009|~|77004|~|93006_ca_object_representations_media_53436_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,814,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/2987_ca_object_representations_media_53436_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/93006_ca_object_representations_media_53436_original.jpg,https://palarchive.org/index.php/Detail/objects/77004/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:30,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
ark:/13030/m5qg68bs,ark:/21198/z1qg4cf4,,Work,82.0,0082.01.0010|~|77005|~|96038_ca_object_representations_media_53437_original.jpg,Al-Kasaba Theatre and Cinematheque Collection,,"عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة","A Performance of a Play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinemathique","A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.|~|صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.","Asad, Hamzah, ""The al-Kasaba Theatre and Cinematheque Collection,"" archival inventory, July 2018 the Palestinian Museum Digital Archive. ; George Ibrahim (General director of al-Kasaba Theatre and Cinematheque), partially recorded interview with PMDA researcher Hamzah Asad, 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,2003; Date created,2003,,"[31.9037641,35.2034184]",,,image/jpeg,562,814,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/78164_ca_object_representations_media_53437_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/3/4/96038_ca_object_representations_media_53437_original.jpg,https://palarchive.org/index.php/Detail/objects/77005/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Al-Kasaba Theatre and Cinematheque Collection,9 December 2018 at 15:47:50,9 March 2021 at 12:01:29,"A colour photograph from the performance of a play ""The Adventures of Khadra"" at al-Kasaba Theatre and Cinematheque. Participating in the play were: Husam Abu Eisheh, Doreen Mounir, and Raja'i Sandouka.","صورة ملونة من عرض مسرحية ""مغامرات خضرا"" في مسرح وسينماتك القصبة، شارك في تمثيلها: حسام أبو عيشة، دورين منير، ورجائي صندوقة.",color photographs,,,
